jd_no,text_job
12,"Job Title: Staff Accountant  
Salary: Up to $55K  
Company: Source Financial Staffing  

Responsibilities include preparing, paying, and filing accounts payable, researching and resolving discrepancies, entering daily and monthly general ledger transactions, and analyzing reconciliations for various accounts. Duties also involve performing wire transfer services, reviewing and balancing daily branch cash accounts, loan and share totals, credit card portfolios, and preparing daily cash position analysis reports. The role requires assistance in the preparation of month-end financial statement packages and support during audits.  

Required qualifications include a BS in Accounting, Finance, or General Business, or equivalent work experience. Essential skills include proficiency in Excel spreadsheets, attention to detail, and the ability to meet deadlines. The position allows for hybrid work after an initial training period."
13,"Job Title: Radiologic Technologist  
Location: Cumming, GA  
Pay Rate: $2125/Week  

The Radiologic Technologist performs diagnostic imaging procedures, including X-rays, CT scans, MRI scans, and fluoroscopies, to assist in patient diagnosis and treatment. Responsibilities include positioning patients, operating imaging equipment, monitoring patient safety, reviewing images for quality, collaborating with healthcare professionals, maintaining accurate patient records, and adhering to safety protocols to minimize radiation exposure. Required qualifications include an Associate's degree in Radiologic Technology (Bachelor's preferred), valid state licensure or certification, and CPR certification. Essential skills include proficiency in operating radiologic equipment, strong communication abilities, and the capacity to work in fast-paced environments. Physical requirements involve standing for extended periods, lifting/moving patients, and manual dexterity for equipment operation. The work environment includes hospital radiology departments, outpatient imaging centers, physician offices, and emergency rooms, with potential for evening, weekend, or on-call shifts."
14,"Job Title: Application Coordinator  
Location: Tampa, FL or Dallas, TX (Hybrid)  
Pay Range: $50-52/hour W2  
Responsibilities include managing the application penetration testing (App Pentest) scope, maintaining compliance with App Pentest Policy & Control Standards, overseeing the annual App Pentest review schedule, and coordinating the scoping questionnaire and application assessments within the AppSec vulnerability management system. The role involves tracking remediation of reported vulnerabilities, policy deviations, GRC issues, and risk acceptances, as well as facilitating App Pentest review meetings and responding to regulatory requests and client questionnaires. Required skills include project management or coordination experience (3-5 years), excellent communication, coordination, and organizational skills. A bachelor's degree is desirable. The position requires a global perspective in collaboration, effective communication, influencing abilities, and innovative thinking."
15,"Job Title: Part-Time Bookkeeper (10 hours/week)  
Company: StaffSource  

Core responsibilities include preparing quarterly taxes, unemployment taxes, and sales tax reports, performing general ledger reconciliation, and weekly payroll reporting. Required technical skills include proficiency in QuickBooks and strong knowledge of accounting practices, particularly account reconciliation. Familiarity with governmental accounting practices and ensuring compliance with accounting standards and regulations is essential. Proven experience in bookkeeping or a similar role is necessary, along with the ability to handle sensitive financial information confidentially and demonstrate excellent organizational skills and attention to detail."
16,"Job Title: Airport Ramp Agent  
Company: GAT Airline Ground Support  

Ramp agents are responsible for loading and unloading baggage, guiding aircraft to and from gates, operating ground equipment (such as tugs, cargo carts, service trucks, and belt loaders), and performing airplane servicing duties, including de-icing. Key responsibilities include maintaining on-time connections, protecting baggage and equipment, assisting with record-keeping for baggage routing, adhering to safety guidelines, and communicating with management. Required qualifications include being at least 18 years old, having a high school diploma or GED, familiarity with basic computer programs, a valid driver's license with a good driving record, and passing a physical agility test. Candidates must be able to work in extreme weather conditions, possess strong teamwork and communication skills, and have a flexible schedule for nights, weekends, and holidays. Employment is contingent upon a clear driving record, a 10-year criminal history check, and a drug screen."
17,"Job Title: Integrated Absence Claims Specialist  
Company: Lincoln Financial Group  
Location: Hybrid/Flexible (Work from Home and in-office as needed)  

Responsibilities include managing Short-Term Disability claims, conducting interviews with claimants, reviewing medical records, and making claim determinations. The role involves communication with claimants, employers, and medical professionals to gather information, collaborating with case managers and consulting physicians, and performing financial calculations in accordance with company and state guidelines. Required skills include a High School diploma or GED, 1-2 years of experience in claims, leaves, or customer service, strong written and verbal communication, and excellent organizational skills. Preferred qualifications include experience in disability or absence management and strong mathematical skills. Technologies and tools used may include case management systems and communication platforms. The position operates within the insurance and financial services industry."
18,"The VP, Strategy & Insights at Blue State is responsible for leading research and strategy development for brand engagement programs, including climate change campaigns and humanitarian responses. Key tasks include conducting primary and secondary research, translating findings into actionable insights, and overseeing traditional business frameworks such as SWOT analyses and user journeys. Required skills include qualitative and quantitative research experience, proficiency with social listening tools (e.g., Brandwatch, Audiense) and survey tools (e.g., GWI), as well as strong presentation and facilitation abilities. The role involves collaboration with multi-disciplinary teams and senior business leads to grow client portfolios and develop strategic recommendations. A commitment to diversity, equity, and inclusion is essential. The position requires over 12 years of relevant experience and offers a salary range of $140,000-$160,000."
19,"The RN Wound Specialist at Providence Home Health in King County, WA, is responsible for evaluating and providing nursing services related to wound care, consulting with staff, and educating them on best practices. This role requires a graduation from an accredited nursing program, a Washington Registered Nurse License, and a National Provider BLS certification. A minimum of one year of nursing experience is required, with a preference for candidates holding a current WOCN license or certification as a Wound Care Specialist or Enterostomal Therapist. The position operates within the framework of community health nursing and adheres to the Washington State Nurse Discipline Practice Act. The work schedule is Monday to Friday, 8 am to 4:30 pm, serving the East King County area. Compensation ranges from $44.48 to $70.41 per hour, with additional benefits including medical, dental, and vision coverage, a 401(k) plan, paid time off, and mileage reimbursement."
20,"Job Title: Tax & Accounting Account Manager  
Role Type: Full Time  
Location: Fully Remote  

Responsibilities include managing 60-80 client accounts, onboarding new clients, developing and executing tax plans, reviewing books and tax returns for accuracy, and maintaining detailed client records while collaborating with other teams. Required qualifications include 2+ years of account management or client experience, a Bachelor's or Master's degree in Accounting, extensive tax knowledge (EA or CPA preferred), and experience managing over 50 accounts simultaneously. Strong communication skills are essential for client interactions and cross-department collaboration. The role is within a female-owned company specializing in tax strategies for business owners, focusing on compliance and liability minimization. Compensation includes a base salary of $100k+ per year, a quarterly bonus of $50k+, health insurance reimbursement, and opportunities for career growth. Only US applicants are considered."
21,"Job Title: Human Resources Coordinator  
Location: New York, NY  
Duration: 8+ Months Contract  

Core responsibilities include monitoring and tracking project activities, collaborating with HR Business Partners and Finance to update project budgets, managing HR planning forecasts, overseeing budget control and hiring procedures, coordinating annual compensation budgeting, maintaining hiring requests, and preparing internal communication reports. Required qualifications include a Bachelor’s degree, a minimum of 3 years of HR experience (preferably in a multinational company), and advanced proficiency in Microsoft Excel and PowerPoint. Experience with HR systems (SuccessFactors preferred, Workday/SAP acceptable), workforce planning, and a background in finance are advantageous. The role demands strong attention to detail, the ability to thrive under pressure, multitasking skills, and a proactive, self-motivated approach. Spanish speaking is a plus."
22,"Job Title: Employee Benefits Account Executive  
Company: CPS, Inc.  
Location: Hybrid in Long Island, NY  

Responsibilities include managing large group client accounts, marketing to standard carriers, assisting with open enrollments, creating benefit guides, and developing client strategies. The role requires expertise in medical, dental, vision, and ancillary benefits, along with strong client relationship management. Key tasks involve managing requests for proposals and renewals, negotiating with carriers, and overseeing the renewal process, including marketing and understanding renewal development. Daily account management is conducted using EPIC software, and collaboration with producers on the book of business is essential.  

Required qualifications include a minimum of 4 years of experience in employee benefits or insurance, with a preference for brokerage experience. Candidates should possess a NY Life and Health License and demonstrate exceptional customer service skills. A self-starter attitude and organizational skills are necessary, along with a commitment to continuous learning. Some college education is preferred. Compensation includes a base salary of up to $150k and a full benefits package, including health insurance, dental insurance, vision insurance, disability insurance, life insurance, a 401(k), flexible spending accounts, health savings accounts, paid time off, and paid training."
23,"The Payroll Administrator II at PAR Technology is responsible for processing payroll data, including wages, overtime, bonuses, deductions, and taxes, while resolving payroll discrepancies and communicating with employees regarding payroll issues. This role requires a minimum of 5 years of payroll processing experience, including knowledge of Canadian and multi-state payroll, and proficiency in ADP Workforce Now or similar enterprise-level payroll software. Strong analytical, problem-solving, and communication skills are essential, along with proficiency in Microsoft Office Suite, particularly Excel. The position involves maintaining compliance with relevant payroll legislation, training and mentoring other payroll processors, and supporting payroll process documentation and analytics. The role is remote and reports to the Sr. Payroll Manager and Payroll Supervisor, contributing to strategic growth initiatives within a high-growth environment."
24,"Job Title: Technical Support  
Company: Forrest T. Jones & Company  

Responsible for providing initial responses to problems submitted to the Service Desk, maintaining, analyzing, troubleshooting, and repairing computer systems, hardware, and peripherals. Tasks include documenting, maintaining, upgrading, or replacing hardware and software systems, and supporting user account information including rights and security. Serve as Level 1 and Level 2 support for desktop, network, and telephone issues as part of a 24x7 service team. Author knowledge base articles for customer self-service and provide quality assurance for new technical capabilities. Log, assign, escalate, and resolve reported problems, and learn business software to assist customers. Off-first shift, weekend work, and on-call services may be required.  

Required qualifications include an Associate’s Degree in a related area or equivalent technical training, and 1-2 years of experience in desktop and server hardware and software support in a business environment. In-depth technical knowledge of desktop applications, network operating systems, hardware infrastructure, various desktop operating systems, telephone administration, and data communication skills is essential. Strong written and verbal communication skills, customer service orientation, and teamwork are necessary. Regular pursuit of job-related training is expected."
25,"Job Title: Coordinator, Parts  
Company: U.S. Xpress, Inc.  
Location: Jacksonville, FL  
Schedule: Sun-Wed 6am-4:30pm  
Compensation Range: $17.37 - $23.51  

Responsibilities include issuing, stocking, ordering, and shipping tractor and trailer parts, entering parts into the computer system linked to repair orders, and maintaining cleanliness and order in the parts warehouse and office. The role requires a high school diploma or equivalent, with a minimum of 1 year of experience in parts preferred; experience in the transportation industry is a plus. Required skills include proficiency in computer use and 10-key entry, effective communication, good organizational and time management abilities, and ASE parts certifications are preferred. The work environment is a normal office setting."
26,"Job Title: Project Coordinator/Director  
Company: Insight Global  
Core responsibilities include coordinating projects within a non-profit organization focused on youth foster care, specifically assisting children in finding permanent homes. Required qualifications include a degree or master's in social work or equivalent experience, bilingual proficiency in Spanish and English, and local availability or willingness to relocate to Loves Park, Illinois. Relevant experience in youth foster care is essential. The position is available in multiple locations, including Tucson, AZ; Loves Park, IL; Cincinnati, OH; Indianapolis, IN; Fairfax, VA; Aurora, CO; Addison, IL; and Chicago, IL, among others. Compensation ranges from $50,000 to $85,000 per year, with variations based on skills, experience, and education. Benefits include medical, dental, and vision insurance, HSA, FSA, DCFSA options, 401k with employer matching, and paid sick leave or other paid time off as per applicable law."
27,"Job Title: Financial Analyst  
Location: Long Island City, NY  
Duration: 6+ months  
Responsibilities include developing financial and quantitative analysis reports, performing quality assurance checks on financial transaction packages, assisting in budget modification processes, and developing the Capital Federal Plan. The role involves processing financial transactions, coordinating and tracking Certificate to Proceed and contract registration submissions, and serving as a liaison with other developments. Required technical skills include proficiency in financial analysis and reporting tools. Familiarity with budgeting processes and financial transaction management is essential."
28,"Job Title: Electro-Mechanical Assembler  
Company: Leidos  
Location: Ladson, SC  

The Electro-Mechanical Assembler is responsible for the rapid manufacturing of sub-assemblies and finished systems, including cables, harnesses, panels, and mechanical assemblies. Key tasks include reading and interpreting work instructions, soldering wires and components, measuring and routing wires, and utilizing hand and power tools. The role requires adherence to manufacturing guidelines, quality checks, and completion of build records. Required qualifications include over 1 year of experience in manufacturing or R&D, a high school diploma, and the ability to obtain a Public Trust clearance. Technical skills needed include ESD awareness and average computer proficiency. Preferred qualifications include certifications in IPC 620, 610, 7711, 7721, or J-standard. The position operates within the security technology domain, focusing on automated threat detection systems for aviation, shipping ports, and critical infrastructure."
29,"Job Title: Field Service Technician - PV Inverters  
Location: Wendell, NC  
Responsibilities include providing service, maintenance, and warranty remediation for installed photovoltaic (PV) inverters, offering technical and after-sales support, assisting with installation, commissioning, firmware upgrades, and monitoring solutions, and performing preventative maintenance. The technician will also handle documentation and material requests and provide phone support for technical issues.  

Required qualifications include a minimum of 3 years of experience troubleshooting mechanical and electrical issues in power systems or controls systems, a High School Diploma or GED, and the ability to travel domestically up to 80%. A valid driver's license and legal authorization to work in the U.S. are mandatory. Preferred qualifications include a Bachelor’s Degree in Electrical Engineering or a related field, hands-on knowledge of solar PV inverter best practices, and a Journeyman Electrician license.  

Technical skills required involve proficiency in power electronics and controls systems. The role operates within the energy industry, specifically focusing on solar technology."
30,"Job Title: Key Account Manager  
Company: Hirschmann Car Communication GmbH  

The Key Account Manager (KAM) is responsible for driving revenue and developing wireless business opportunities within the OEM automotive sector, acting as the primary contact for North American OEM customers and Tier 1 suppliers. Core responsibilities include identifying and implementing business development strategies, managing customer accounts, forecasting sales, and coordinating customer relationship management. The KAM will engage with engineering and product management teams to align product roadmaps with customer needs, manage project teams during the business pursuit phase, and oversee sales operations, including revenue generation and contract negotiations. Required qualifications include a BS in Engineering, Marketing, or Business Administration (MBA preferred), with 5-7 years of experience in technical field sales or marketing within the OEM automotive industry. Familiarity with complex electronics, RF, and antenna technologies is advantageous. Strong communication skills, strategic thinking, and the ability to work cross-functionally are essential, along with a good understanding of automotive manufacturing processes. Proficiency in English is required, and knowledge of German is a plus. Travel to customer locations is necessary."
31,"Job Title: R Developer - Technical Lead  
Company: CGI  

This role involves leading a team in delivering statistical programs for lab scientists, focusing on R programming. Responsibilities include ensuring quality code production by R programmers, providing mentorship, and facilitating communication among team members. Required technical skills include proficiency in R programming, data manipulation using packages like dplyr and tidyr, statistical analysis, data visualization with ggplot2, and knowledge of machine learning algorithms in R. Familiarity with data science concepts, software development life cycle (SDLC), and Agile methodologies is advantageous. The position is primarily based in Plymouth Meeting, PA, but can be performed at any CGI office location. Leadership skills, problem-solving abilities, and strong communication are essential for success in this role."
32,"Job Title: Senior System Integration Tester  
Location: Richmond, VA  
Core Responsibilities: Develop test scenarios, prepare data, execute test cases, validate test results, track defects, and report metrics.  
Required Technical Skills: Minimum of 5 years of hands-on experience in test scenario development, data preparation, test case execution, mainframe testing, test results validation, defect tracking, and metrics reporting. Familiarity with claims processing software and experience with Teradata queries are essential.  
Industry Context: The position is within the public sector, focusing on large-scale systems integration.  
Employment Type: W2 or 1099/C2C; open to candidates with valid work authorization in the US, including H1B transfer candidates."
33,"Job Title: Store Loss Prevention Investigator  
Company: SEPHORA  
Job ID: 245699  
Location: 868 Spectrum Center Drive, Irvine, CA 92618, United States  
Position Type: Full Time, Hourly (Non-Exempt)  

Responsibilities include conducting surveillance on the sales floor and using a CCTV system to identify and deter theft, adhering to laws and company policies regarding apprehensions and evidence preservation, preparing reports on theft incidents and audits, testifying in court, and participating in store meetings and training to enhance loss prevention awareness. The role requires collaboration with the District Loss Prevention Manager and store leadership to develop Store Shrink Plans and investigate internal theft using exception-based reporting.  

Required skills include a minimum of 1 year of asset protection or loss prevention experience in retail, strong communication skills, and the ability to stand or walk the sales floor for the entire shift. Candidates must have flexible availability for peak retail hours and meet all licensing requirements as mandated by state or local jurisdiction.  

Technologies and methodologies used include CCTV systems and exception-based reporting. The role operates within the retail industry, specifically in loss prevention. Compensation ranges from $23.00 to $27.12 per hour, depending on qualifications and experience. Benefits include healthcare, 401(k), paid time off, employee discounts, tuition reimbursement, and referral bonuses."
34,"Job Title: Primary Care Nurse Practitioner  
Company: National Staffing Solutions  

Responsibilities include conducting health assessments for Veterans, reviewing medical or mental health histories using electronic bookmarks, and completing web-based examination forms. Documentation of electronic exams must be submitted within 24 hours. Common examinations involve musculoskeletal, cardiovascular, and respiratory assessments, with ancillary tests such as X-rays, labs, EKGs, PFTs, and ABIs ordered as needed. The practitioner will not determine disability ratings, develop treatment plans, or prescribe medications.  

Required qualifications include current and unrestricted licensure as a Registered Nurse (RN) and Nurse Practitioner (APRN) in the state of practice. The position is full-time, with a schedule of Monday, Tuesday, Thursday, and Friday from 8 AM to 6 PM, and offers a salary of $450 per day for an anticipated assignment duration of 26 weeks. Day One Medical Benefits are available."
35,"The Senior Safety Manager at Albertsons Companies in Auburn, WA is responsible for leading the development and implementation of safety initiatives within the distribution center to minimize risks associated with employee injuries, liability claims, and regulatory compliance. Key responsibilities include analyzing accident factors, identifying high-risk situations, implementing corporate safety directives, training staff on safety policies, and auditing compliance with safety programs. Required qualifications include a four-year degree or equivalent experience, with preferred professional certifications such as GSP, ASP, CSP, or ARM. The role necessitates a strong understanding of federal, state, and local safety regulations, effective communication skills, and the ability to manage multiple priorities. The position offers a salary range of $114,100 to $159,700 annually, with benefits including medical, dental, vision, and retirement options."
36,"Job Title: Financial Advisor  
Company: Robert Half  

Responsibilities include delivering comprehensive financial planning and investment advisory services tailored to individual client needs, crafting personalized investment strategies, managing assigned client portfolios, and providing exceptional client service and support. Required qualifications include a minimum of 5 years of experience in financial advisory roles, professional certification(s) such as CFA or CFP, a bachelor's degree in finance, business administration, economics, or a related field, and a Series 65 license or the ability to obtain it within 90 days of employment. Preferred technical skills include proficiency with financial tools such as Money Guide Pro, Fidelity’s Wealthscape, and Schwab’s Advisor Center."
37,"Job Title: Patient Care Technician  
Company: DaVita Kidney Care  
Location: 124 Fire Tower Rd, Orangeburg, South Carolina, 29118, USA  

The Patient Care Technician (PCT) at DaVita Kidney Care is responsible for providing direct patient care in an outpatient dialysis center, including monitoring patients before, during, and after dialysis treatment, recording vital statistics, and setting up hemodialysis machines. The role involves building long-term relationships with patients suffering from end-stage renal disease and educating them on kidney dialysis topics. Required qualifications include a high school diploma or equivalent, comfort with blood and needles, and the physical and mental ability to work long hours on foot. No prior dialysis experience is necessary, as paid training is provided. Preferred qualifications include healthcare experience such as BONENT Certification, Certified Hemodialysis Technician (CHT), Certified Nursing Assistant (CNA), Certified Medical Assistant (CMA), or Phlebotomy certification. The position requires flexibility to work across multiple clinics and various shifts, including mornings, evenings, weekends, and holidays. The PCT works under the supervision of registered nurses and collaborates with a cross-functional team of healthcare professionals."
38,"Job Title: Retail Sales Specialist  
Hourly Rate: $20.00, with potential earnings of $24.50/hour or $50,960 annually, plus commission.  

Core responsibilities include meeting or exceeding monthly sales goals, particularly in wireless products, ensuring a positive customer experience, conducting product demonstrations, and maintaining knowledge of Spectrum's and competitors' offerings. Required skills include effective communication in English, the ability to thrive in a fast-paced team environment, and physical capability to lift up to 35 lbs and stand for extended periods. A High School Diploma or equivalent is mandatory. Preferred qualifications include 1-5 years of sales experience, familiarity with the latest technology and devices, commissioned sales experience, and prior retail or wireless sales experience. The role utilizes training programs to enhance product knowledge in telecommunications and entertainment technology."
39,"Job Title: Processor - U.S. Based Remote  
Company: Secured Land Transfers  

Responsibilities include back office operations support for real estate closings, evaluating and reviewing real estate contracts and supporting documents, requesting and following up on payoffs, homeowner’s association demands, and verifying tax information. The role requires sound judgment to identify discrepancies, assess risks, and make informed decisions. Required skills include strong verbal and written communication, attention to detail, organizational skills, and the ability to meet deadlines in a fast-paced environment. Experience on an escrow desk is preferred. The position is full-time and remote, with a preference for candidates residing in the Denver Metro Area. The company operates in the real estate industry, providing title and settlement services."
40,"Job Title: GoLang Developer  
Company: Convergenz  

Responsibilities include backend development with a focus on REST APIs and serverless architecture. Required technical skills include proficiency in GoLang or Python, experience with AWS, and familiarity with REST APIs. The role involves working with DynamoDB and utilizing Python-based libraries such as Pandas for data manipulation. Previous experience at Capital One is mandatory. The position spans two domains: one emphasizing real-time orchestration with significant data processing (using EMR and SQL), and the other heavily focused on REST API development."
41,"Job Title: Corporate Development Analyst  
Company: Selby Jennings  

Responsibilities include conducting research and analysis to identify potential acquisition targets, preparing financial models and valuations, creating and presenting pitch books, assisting with the due diligence process, and managing the deal process from origination to execution. Required skills include at least 1 year of experience in Investment Banking, Corporate Development, Transaction Advisory Services (TAS), or Private Equity, along with strong communication and presentation skills, the ability to work under pressure and meet tight deadlines, and proficiency in Excel and financial modeling. The role is situated within a Private Equity-backed team specializing in Healthcare and Veterinary Services."
42,"The Construction Consultant Internship at Turner & Townsend involves supporting project management, program management, and cost management for construction processes. Responsibilities include managing and supervising construction phases, tracking deliverables, evaluating project delivery, and assisting with project closeout. The role requires coordination of meetings, documentation, cost report preparation, and data collation. Candidates should be pursuing a Bachelor’s Degree in Construction, Engineering, Project Management, or a related field, and possess strong organizational and communication skills. Technical skills in cost management methodologies, scheduling, risk management, and stakeholder management are essential. The internship offers a salary range of $20/hr-$25/hr, with on-site presence subject to client needs."
