user_id,text_resume
10,"**Summary**  
Results-driven Software Engineer with over 5 years of experience in configuring and modernizing insurance systems, particularly with Oracle Insurance Policy Administration (OIPA). Proficient in Java, Python, and JavaScript frameworks, possessing strong analytical skills and a proven ability to enhance communication strategies through digital channels.

**Experience**  
**Software Engineer, Insurance Technology**  
2018–Present  
- Led the configuration and testing of the OIPA system, improving policyholder communication through a digital omnichannel strategy.  
- Developed and integrated an AWS-hosted User Initiated Communication tool, enhancing user engagement and operational efficiency.  
- Collaborated on modernization projects utilizing containerization technologies such as Docker and Kubernetes, streamlining deployment processes.

**Junior Software Developer, Financial Services**  
2016–2018  
- Assisted in the development of web applications using React and Angular, contributing to a 30% increase in user satisfaction ratings.  
- Implemented continuous delivery pipelines using YAML and Bash, which reduced deployment times by 25%.  
- Supported the integration of GitLab for version control, improving team collaboration and code quality.

**Education**  
B.S. in Computer Science  

**Skills**  
OIPA, Java, Python, React, Angular, Docker, Kubernetes, AWS, YAML, GitLab, Agile methodologies, Life Insurance products, problem-solving, communication."
11,"**Summary**  
Results-driven Fullstack Developer with over 5 years of experience in application delivery using .NET and JavaScript technologies. Proven expertise in cloud environments, particularly Azure, and a strong background in mentoring teams and ensuring code quality through rigorous review processes.

**Experience**  
**Fullstack Developer**  
Software Development | 2018–Present  
- Spearheaded the translation of business requirements into technical specifications, leading to a 30% improvement in project delivery timelines.  
- Mentored junior developers, enhancing team performance and fostering a collaborative environment that improved overall code quality.  
- Collaborated with cross-functional teams during scrum meetings to strategize project completion, successfully resolving over 95% of production issues within SLA.

**Junior Developer**  
Web Development | 2016–2018  
- Assisted in the development and deployment of cloud-based applications using Azure services, contributing to a streamlined CI/CD pipeline in Azure DevOps.  
- Conducted thorough code reviews, ensuring adherence to security standards and best practices, which reduced vulnerabilities by 40%.  
- Implemented unit testing frameworks (xUnit, JEST) that improved application reliability and reduced bug rates by 25%.

**Education**  
B.S. in Computer Science

**Skills**  
C#, JavaScript, TypeScript, SQL, .NET Core, React, GraphQL, Azure (EntraID, Functions, Web Apps), Azure DevOps, Visual Studio, Visual Studio Code, SQL Server Management Studio, xUnit, nUnit, JEST, N-Tier Architecture, SOLID principles, Design Patterns, Microservices Architecture, Domain Driven Design, SCRUM, Agile methodologies."
12,"**Summary**  
Results-driven DevOps Engineer with over 5 years of experience in cloud migration and enterprise application support within the financial services sector. Proficient in designing and implementing CI/CD pipelines using GitHub, Sonatype, and SonarQube to enhance development workflows and ensure code quality.

**Experience**  
**DevOps Engineer, Financial Services**  
2018–2023  
- Designed and implemented a robust CI/CD pipeline utilizing GitHub, resulting in a 30% reduction in deployment times and improved release frequency.  
- Managed the integration of Sonatype and SonarQube into existing workflows, enhancing code quality and security compliance across multiple teams.  
- Spearheaded cloud migration projects, optimizing infrastructure and reducing operational costs by 20% through efficient resource allocation.

**DevOps Engineer, Technology Solutions**  
2016–2018  
- Led the transition to a microservices architecture, utilizing GitHub for version control and collaboration, which improved team productivity by 25%.  
- Developed automated testing and deployment processes with SonarQube, ensuring high-quality code delivery and minimizing production issues.  
- Collaborated with cross-functional teams to align DevOps practices with business objectives, enhancing overall system performance and reliability.

**Education**  
B.S. in Computer Science

**Skills**  
GitHub, Sonatype, SonarQube, CI/CD, Cloud Migration, Microservices, Automation, Infrastructure as Code, Agile Methodologies, Docker, Kubernetes"
13,"Summary  
Detail-oriented Software Engineering student with hands-on experience in AI application development and a solid foundation in programming languages including Python, C, and C++. Proven ability to contribute to innovative projects in security and transportation sectors, leveraging strong analytical and problem-solving skills.

Experience  
Software Engineering Intern, Technology Solutions  
2022–2023  
- Developed and tested a cloud-based application for real-time data analysis in transportation systems, enhancing operational efficiency by 20%.  
- Collaborated with a team to design and implement APIs for data integration, utilizing SQL and MapReduce for optimized data processing.  
- Participated in Agile development cycles, contributing to sprint planning and code reviews, ensuring adherence to Object-Oriented Programming principles.

Research Assistant, University Research Lab  
2021–2022  
- Assisted in the development of AI algorithms for predictive modeling in security applications, leading to a 15% improvement in threat detection accuracy.  
- Engaged in hands-on projects involving DevOps practices, including CI/CD pipeline setup and cloud deployment, fostering a collaborative research environment.  
- Conducted literature reviews and presented findings on autonomous systems, enhancing the lab's knowledge base and research direction.

Education  
B.S. in Computer Science  
University of Tennessee, Knoxville, Expected May 2024  

Skills  
Python, C, C++, SQL, DBMS, MapReduce, Cloud Computing, DevOps, Object-Oriented Programming, Agile Methodologies, API Development, Application Development"
14,"**Summary**  
Accomplished Full Stack Java Developer with over 12 years of experience in designing and implementing robust applications using Java and Spring Boot. Proficient in developing RESTful APIs and integrating microservices architecture while ensuring web security and database management.

**Experience**  
**Senior Full Stack Developer**  
2011–2023  
- Developed and maintained web applications using Java/J2EE and Spring Boot, enhancing performance and scalability through microservices architecture.  
- Implemented RESTful APIs and managed database schema using Liquibase, leading to a 30% reduction in deployment time.  
- Migrated existing Vue.js applications to newer frameworks and integrated Java applications with AWS services, improving cloud functionality and security.

**Full Stack Java Developer**  
2009–2011  
- Collaborated on full-cycle software development projects utilizing JHipster for rapid application development and Maven for efficient project management.  
- Enhanced user interfaces with Vue.js 2, leading to improved user satisfaction scores by 25%.  
- Integrated Azure Active Directory for secure authentication and authorization, ensuring compliance with industry standards.

**Education**  
B.S. in Computer Science

**Skills**  
Java, J2EE, Spring Boot, RESTful APIs, Microservices, Liquibase, JHipster, Maven, Vue.js 2, AWS, Microsoft Azure, Azure Active Directory, Azure Storage, Python, Web Security Principles."
15,"**Summary**  
Detail-oriented Software Engineer with 4 years of experience in developing scalable applications using Python and Node.js. Proven ability to manage multiple projects simultaneously and collaborate effectively in hybrid work environments.

**Experience**  
**Software Developer**  
2019–2023  
- Designed and implemented RESTful APIs using Python and Node.js, enhancing application performance and scalability.  
- Collaborated with cross-functional teams to deliver software solutions on time, improving project delivery efficiency by 30%.  
- Led the migration of legacy systems to modern architectures, resulting in a 25% reduction in operational costs.

**Junior Software Engineer**  
2018–2019  
- Assisted in the development of web applications with a focus on user experience and functionality using Python and Node.js.  
- Conducted code reviews and contributed to team knowledge-sharing sessions, fostering a culture of continuous improvement.  
- Supported project management efforts by tracking progress and providing regular updates to stakeholders.

**Education**  
B.S. in Computer Science

**Skills**  
Python, Node.js, RESTful APIs, Agile methodologies, Git, Docker, SQL, JavaScript, HTML/CSS"
16,"**Summary**  
Results-driven Data Scientist with over 5 years of experience in analyzing complex datasets to derive actionable insights. Proficient in machine learning, statistical analysis, and software development, with a strong focus on national security applications. Skilled in collaborating with diverse stakeholders to develop innovative solutions in data-driven environments.

**Experience**  
**Senior Data Scientist, National Security Industry**  
2018–Present  
- Designed and implemented machine learning models to analyze large-scale datasets, improving predictive accuracy by 30% for national security applications.  
- Developed data integration pipelines that streamlined data cleaning processes, reducing processing time by 40%.  
- Collaborated with military and government officials to deliver insights that informed strategic decision-making in nuclear nonproliferation initiatives.

**Data Scientist, Technology Solutions**  
2016–2018  
- Conducted exploratory data analysis and pattern recognition on geospatial datasets, which led to the identification of key trends impacting national security.  
- Utilized Python and PyTorch to build and optimize algorithms for natural language processing applications, enhancing data interpretation capabilities.  
- Participated in cross-functional teams to deliver data-driven solutions, ensuring alignment with organizational goals and compliance requirements.

**Education**  
M.S. in Data Science  
B.S. in Computer Science  

**Skills**  
Python, Scala, Java, C++, PyTorch, machine learning, natural language processing, geospatial intelligence, predictive modeling, data integration, statistical analysis, software development."
17,"**Summary**  
Results-driven Network Engineer with over 7 years of experience specializing in Customer Premises Equipment (CPE) and Optical Network Units (ONU). Proven expertise in certifying and optimizing fiber optics systems, including Optical Line Terminals (OLT) and Passive Optical Networks (PON).

**Experience**  

**Network Engineer**  
Telecommunications Industry  
2016–2023  
- Led the certification process for CPE and ONU, ensuring compliance with industry standards and enhancing system reliability.  
- Collaborated with cross-functional teams to deploy and optimize PON technologies, resulting in a 30% increase in network efficiency.  
- Developed and implemented troubleshooting protocols that reduced downtime by 25%, improving service delivery for customers.

**Network Technician**  
Telecommunications Industry  
2013–2016  
- Assisted in the installation and maintenance of fiber optics systems, focusing on OLT configuration and performance tuning.  
- Conducted field tests and performance evaluations of optical networks, contributing to the successful rollout of new service offerings.  
- Provided technical support and training to junior engineers, enhancing team capability in handling complex network issues.

**Education**  
B.S. in Electrical Engineering

**Skills**  
CPE, ONU, Optical Line Terminals (OLT), Passive Optical Networks (PON), fiber optics, network troubleshooting, system certification, telecommunications standards, project management"
18,"**Summary**  
Detail-oriented DevOps Software Engineer with over 6 years of experience in software development and a strong focus on cybersecurity. Proficient in leveraging Python for data transformation and API integration, with a solid understanding of the software development lifecycle and agile methodologies.

**Experience**  

**DevOps Software Engineer**  
2017–Present  
- Led software development projects, ensuring adherence to security protocols while conducting thorough testing and debugging of applications.  
- Collaborated with data scientists to capture and analyze cyber knowledge, utilizing Python to access APIs and transform data into JSON format for further processing.  
- Developed and maintained documentation for software systems, enhancing maintainability and user understanding.  

**Software Engineer**  
2015–2017  
- Designed and implemented software solutions that improved data handling and processing efficiency within the cybersecurity domain.  
- Utilized Jupyter Notebooks for data analysis and visualization, supporting team efforts in cyber knowledge development.  
- Managed version control and collaborative coding efforts using GitLab, ensuring seamless integration of software updates.  

**Education**  
M.S. in Computer Science  

**Skills**  
Python, JSON, Jupyter Notebooks, GitLab, JavaScript, TypeScript, Cybersecurity, MITRE ATT&CK framework, Agile methodologies, API integration."
19,"**Summary**  
Detail-oriented Software Engineering student with hands-on experience in back-end web development and a strong foundation in Computer Science principles. Proficient in node.js and collaborative programming, with a demonstrated ability to solve complex problems and communicate effectively in team settings.

**Experience**  
**Software Development Intern**  
2022–2023  
- Collaborated with senior engineers to develop and enhance web applications, focusing on back-end functionalities using node.js and Express.js.  
- Participated in code reviews and contributed to debugging processes, improving application performance by 20%.  
- Engaged in team meetings to discuss project requirements and provide insights on potential solutions, fostering a collaborative work environment.

**Web Development Intern**  
2021–2022  
- Assisted in the design and implementation of user-friendly web interfaces, ensuring seamless integration with back-end services.  
- Developed RESTful APIs to support front-end functionalities, enhancing the overall user experience.  
- Conducted testing and troubleshooting of web applications, leading to a 15% reduction in reported bugs.

**Education**  
B.S. in Computer Science  
Expected Graduation: 2024  

**Skills**  
node.js, Express.js, RESTful APIs, web design, networking, JavaScript, HTML, CSS, problem-solving, collaboration, analytical thinking"
20,"**Summary**  
Results-driven Machine Learning Engineer with over 4 years of experience in designing and optimizing recommendation systems for e-commerce platforms. Proficient in leveraging advanced algorithms and deep learning frameworks to enhance user engagement and shopping experiences.

**Experience**  
**Machine Learning Engineer, E-Commerce**  
2019–Present  
- Developed and optimized algorithms for a large-scale recommendation system, increasing user engagement by 30% through personalized product suggestions.  
- Built user interest models using TensorFlow and PyTorch, achieving a 25% improvement in accuracy for candidate generation and ranking.  
- Collaborated with cross-functional teams to implement big data solutions using Spark, enhancing data processing efficiency by 40%.

**Data Scientist, E-Commerce Analytics**  
2018–2019  
- Designed predictive models that improved conversion rates by 15% through targeted advertising strategies.  
- Conducted A/B testing and analysis to refine recommendation algorithms, resulting in a 20% increase in user retention.  
- Published findings on recommendation systems in relevant conferences, contributing to the advancement of e-commerce analytics.

**Education**  
B.S. in Computer Science  
University of Technology

**Skills**  
Python, Java, C++, R, TensorFlow, PyTorch, MXNet, Apache Spark, Machine Learning Algorithms, Recommendation Systems, Big Data Frameworks, A/B Testing, Predictive Modeling"
21,"**Summary**  
Detail-oriented Data Engineer with over 3 years of experience in designing and implementing robust data architectures and ETL processes. Proficient in managing high-volume data systems and ensuring data quality to drive business insights. Strong expertise in Azure Databricks, Python, SQL, and data modeling techniques.

**Experience**  
**Data Engineer**  
2019–2023  
- Developed and maintained data pipelines and data lakes, enabling seamless data flow and storage for analytics, resulting in a 30% improvement in data retrieval times.  
- Collaborated with data scientists to ensure compliance with data governance standards, enhancing data quality and reliability across projects.  
- Implemented CI/CD practices to streamline deployment processes, reducing time-to-market for data solutions by 25%.

**Junior Data Engineer**  
2017–2019  
- Assisted in the design and optimization of a data warehouse using Snowflake, which improved reporting efficiency by 40%.  
- Utilized PySpark for data transformation tasks, contributing to the successful integration of NoSQL systems into the existing data architecture.  
- Supported statistical modeling initiatives by providing clean and structured datasets, facilitating better decision-making for business stakeholders.

**Education**  
B.S. in Computer Science

**Skills**  
Azure Databricks, Python, SQL, PySpark, CI/CD, DevOps, Snowflake, NoSQL, Hadoop, data modeling, data warehousing, data governance, statistical modeling, effective communication."
22,"**Summary**  
Experienced Principal Power Systems Engineer with over 15 years in the utilities infrastructure sector, specializing in transmission, substation, and generation projects. Proven track record in managing technical teams, overseeing project lifecycles, and ensuring compliance with safety and technical excellence standards.

**Experience**  
**Senior Power Systems Engineer**  
Utilities Engineering | 2018–Present  
- Led multidisciplinary teams on complex transmission and substation projects, successfully delivering on time and within budget.  
- Developed and implemented technical specifications and reports, enhancing project documentation and stakeholder communication.  
- Conducted field assessments to validate system performance and compliance with safety regulations, resulting in a 20% reduction in operational incidents.

**Power Systems Engineer**  
Electrical Engineering Services | 2008–2018  
- Managed the design and analysis of electrical generation and distribution systems, contributing to over 30 successful project completions.  
- Collaborated with cross-functional teams to optimize AC/DC conversion processes, improving system efficiency by 15%.  
- Utilized advanced engineering software, including Revit and AutoCAD, to create detailed project designs and simulations.

**Education**  
M.S. in Electrical Engineering  
B.S. in Electrical Engineering  

**Skills**  
Power Systems Analysis, Electrical Generation, Transmission & Distribution, Project Management, Revit, AutoCAD, MicroStation, AC/DC Conversion, Technical Reporting, Team Leadership, Safety Compliance."
23,"**Summary**  
Results-driven Cloud Architect with over 6 years of experience in designing and implementing scalable AWS cloud solutions. Proficient in AWS services and cloud security, with a strong track record of optimizing environments and leading cross-functional teams. Experienced in leveraging AI and machine learning technologies to enhance cloud operations.

**Experience**  
Cloud Solutions Architect, IT Services  
2017–Present  
- Designed and implemented AWS infrastructure solutions, improving system scalability and security for multiple clients.  
- Collaborated with development and operations teams to establish best practices for AWS environments, resulting in a 30% reduction in deployment times.  
- Conducted comprehensive assessments of existing AWS setups and provided strategic recommendations that increased cost-efficiency by 25%.  

Cloud Engineer, Technology Consulting  
2015–2017  
- Developed and deployed cloud-based applications using AWS services, including EC2, S3, and RDS, ensuring high availability and performance.  
- Led pre-sales technical discussions, successfully demonstrating cloud solutions to clients, which contributed to a 40% increase in project acquisitions.  
- Implemented security protocols and compliance measures for AWS environments, enhancing data protection and regulatory adherence.  

**Education**  
B.S. in Computer Science  

**Skills**  
AWS (EC2, S3, RDS, VPC, IAM, Lambda, CloudFormation), Cloud Security, FinOps, AI, Machine Learning, Technical Leadership, Cross-Functional Collaboration, AWS Certified Solutions Architect, AWS Certified DevOps Engineer"
24,"**Summary**  
Results-driven Data Engineer with over 6 years of experience in building robust data pipelines and implementing cloud data warehouse solutions. Proficient in leveraging ETL tools and BI reporting to meet diverse business needs, with a strong focus on collaboration and mentoring within cross-functional teams.

**Experience**  
**Senior Data Engineer**  
Biotechnology Industry  
2018–Present  
- Led the implementation of a cloud data warehouse on Snowflake, optimizing data storage and retrieval processes across multiple business functions including sales, finance, and supply chain.  
- Designed and developed ETL pipelines using Fivetran and Airflow, ensuring efficient data ingestion from various source systems and enhancing reporting capabilities.  
- Collaborated with stakeholders to gather requirements and created comprehensive design documents, while mentoring junior engineers on best practices in data engineering.

**Data Engineer**  
Healthcare Sector  
2016–2018  
- Developed and maintained data pipelines utilizing Python, facilitating seamless batch and real-time data ingestion for analytics and reporting.  
- Implemented data modeling techniques based on Kimball methodology, improving data integrity and accessibility for business intelligence initiatives.  
- Partnered with cross-functional teams to identify reporting needs, delivering Power BI dashboards that provided actionable insights to management.

**Education**  
B.S. in Computer Science  

**Skills**  
Snowflake, Fivetran, DBT, Airflow, Python, Power BI, ETL, Data Warehousing, Data Modeling, Kimball, Data Vault, Batch Processing, Real-time Data Ingestion, Business Intelligence, Team Collaboration, Mentorship"
25,"**Summary**  
Detail-oriented Software Engineer with over 4 years of experience in developing and optimizing large-scale systems. Proficient in coding, system health diagnostics, and performance analysis, with a strong foundation in data structures and algorithms.

**Experience**  
**Software Engineer II, Cloud Infrastructure**  
2019–2023  
- Developed and maintained scalable software solutions, enhancing system performance and reliability across cloud platforms.  
- Participated in design reviews and code audits, ensuring adherence to best practices and improving overall code quality.  
- Collaborated with cross-functional teams to troubleshoot and resolve complex system issues, contributing to comprehensive documentation for system health.

**Software Engineer I, Application Development**  
2018–2019  
- Contributed to the development of user-friendly applications, focusing on accessibility and performance optimization.  
- Utilized debugging tools to identify and fix critical bugs, significantly reducing downtime and improving user satisfaction.  
- Engaged in regular code reviews and knowledge-sharing sessions, fostering a culture of continuous improvement within the team.

**Education**  
M.S. in Computer Science

**Skills**  
Python, Java, C++, distributed computing, algorithms, data structures, performance analysis, debugging, large-scale system design, UI design, artificial intelligence, natural language processing, documentation tools, software test engineering."
