jd_no,text_job
10,"Job Title: Remote - Software Engineer - OIPA Configurator  
Company: State Farm  

Responsibilities include modernizing communication with Life Policyholders through a digital omnichannel strategy, focusing on the Oracle Insurance Policy Administration (OIPA) system and Equisoft Design manager. Key tasks involve OIPA configuration/testing, integrating with enterprise capabilities, and participating in modernization projects such as an AWS-hosted front-end User Initiated Communication tool. Required technical skills include experience with OIPA, Java or Python, and JavaScript frameworks (React, Angular, VueJS, Ember). Familiarity with containerization technologies (Puppet, Docker, Kubernetes), continuous delivery pipeline development (YAML/Bash), and GitLab is preferred. AWS Cloud experience and knowledge of Life Insurance products are advantageous. Strong analytical, communication, and problem-solving skills are essential, along with a self-motivated approach to work. The position is remote or hybrid, depending on the candidate's location, and applicants must be eligible to work in the U.S. without sponsorship. Salary ranges from $90,600 to $177,500, with potential annual incentive pay of up to 15% of base salary. Benefits include health insurance, 401k, paid time off, and tuition reimbursement. Application deadline is April 29, 2024."
11,"Job Title: Fullstack .NET/JavaScript Developer  
Location: Charlotte, NC  

Responsibilities include translating business requirements into technical specifications, strategizing project completion plans, mentoring developers, providing guidance to engineering teams, collaborating on application delivery, reviewing technical aspects of bugs and user stories, resolving production issues, participating in scrum meetings and release planning, and reviewing application code for quality and security standards.  

Required qualifications include a Bachelor's degree in Information Technology, Computer Science, or a related field, or equivalent experience. Candidates must have extensive experience with application delivery in cloud environments, particularly Azure services (e.g., EntraID, Functions, Web Apps), and managing CI/CD pipelines in Azure DevOps. Proficiency in programming languages and frameworks such as C#, JavaScript, TypeScript, SQL, .NET Core, React (or similar), and GraphQL is essential. Familiarity with development tools like Visual Studio, Visual Studio Code, and SQL Server Management Studio is required. Knowledge of unit testing practices (e.g., xUnit, nUnit, JEST), N-Tier Architecture, SOLID principles, Design Patterns, Microservices Architecture, Domain Driven Design, and SCRUM/Agile methodologies is necessary. Strong analytical, troubleshooting, and decision-making skills, along with a detail-oriented approach to application security (including knowledge of OAuth flows), are also required."
12,"Job Title: DevOps Engineer  
Company: Open Systems Technologies  
Location: New York, NY  
Compensation: $170-190k  

Responsibilities include the design, implementation, maintenance, and ongoing support of Microsoft Enterprise GitHub, Sonatype, and SonarQube for cloud migration. Required technical skills include proficiency in GitHub, Sonatype, and SonarQube. The role involves working within the financial services industry."
13,"The Software Engineer Intern position at the University of Tennessee, Knoxville, involves contributing to the Complex Systems Monitoring Optimization and Stability Laboratory (COSMOS lab), which focuses on applied AI research in areas such as Homeland Security, Autonomous Vehicles, Transportation, and Manufacturing. Key responsibilities include developing real-world AI products for security applications. Required technical skills include experience in App, API, or SaaS development, proficiency in programming languages such as Python, C, and C++, and knowledge of SQL, DBMS, MapReduce, Cloud, and DevOps. Familiarity with Object-Oriented Programming (OOP) concepts is also necessary. The role is part of an NSF REU internship program and offers competitive pay, mentorship from PhD students, and potential opportunities to transition into a full-time position as a Founding Engineer/CTO in a startup spinoff. Candidates must be U.S. citizens or lawful permanent residents enrolled in an undergraduate program, with strong problem-solving, analytical, communication, and interpersonal skills."
14,"Job Title: Full Stack Java Developer  
Company: Intello Group, Inc.  
Role: Java/J2EE Senior Full Stack Developer with Spring Boot Experience  
Location: Remote  
Duration: Long-term  
Primary Skill: Java/J2EE – Spring Boot, Rest API  

Responsibilities include developing applications using Java and Spring Boot 2.x, implementing RESTful APIs, and utilizing microservices architecture. Required technical skills include advanced proficiency in Java programming, web security principles, and familiarity with Liquibase for database schema management. Experience with Jhipster for web application development, Maven for project dependency management, and Vue.js 2 for building user interfaces is essential. The role also involves migrating Vue.js and Spring Boot applications to newer versions and integrating Java applications with AWS or Microsoft Azure services, including Azure Active Directory and Azure Storage. Proficiency in Python is also required. Candidates must have 12+ years of relevant experience."
15,"Job Title: Software Engineer  
Location: Downtown Houston  
Responsibilities include working on multiple projects, splitting time between two sites and remote work. Required technical skills include proficiency in Python and Node as core programming languages. The role is full-time and may be contract-to-hire or direct hire. Experience of 3-5 years as a Software Developer is necessary."
16,"The Senior Data Scientist 3 - Nonproliferation at Pacific Northwest National Laboratory (PNNL) is responsible for designing, developing, and implementing methods and systems for analyzing diverse datasets, utilizing statistics, machine learning, advanced mathematics, and software development. Key tasks include integrating and cleaning data, recognizing patterns, and developing predictive models and algorithms. Required qualifications include a BS/BA with 5+ years, MS/MA with 3+ years, or a PhD with 1+ year of relevant experience, along with proficiency in programming languages such as Python, Scala, Java, C, or C++. Preferred skills include experience with machine learning frameworks like PyTorch, natural language processing, and applications in geospatial intelligence or computer vision. The role involves collaboration with government, military, and industry officials and requires the ability to obtain a TS/SCI clearance. PNNL's work focuses on national security, particularly in nuclear nonproliferation, leveraging AI and data analytics to address complex challenges."
17,"Job Title: Network Engineer III  
Company: TEKsystems  

Responsibilities include certifying code for Customer Premises Equipment (CPE) and Optical Network Units (ONU) as part of the Access Engineering organization and CPE team. Required skills include 5-10 years of experience with CPE, ONU, fiber out of home, and Passive Optical Networks (PON). The role is onsite and focuses on technologies such as Optical Line Terminals (OLT) and related fiber optics systems."
18,"Job Title: DevOps Software Engineer with Security Clearance

Responsibilities include performing all phases of the software development lifecycle, analyzing user/business needs, designing software systems, conducting software updates, testing, debugging, and documenting software for maintenance. The role involves working with a data scientist team to capture cyber knowledge, leveraging Python to access APIs, transforming data into JSON, and supporting cyber knowledge development priorities. Required qualifications include an active TS/SCI clearance with a polygraph, a Bachelor's degree with 8 years of relevant experience or a Master's degree with 6 years, or equivalent experience. A Computer Science degree or related field is necessary, along with strong Python skills, familiarity with JSON, and experience with Jupyter Notebooks and GitLab. Preferred skills include experience with JavaScript and TypeScript, understanding of the Cyber mission, and knowledge of the MITRE ATT&CK framework."
19,"Software Engineer Intern at TuneTunnel involves remote work focused on back-end web development, software development, and programming. Core responsibilities include collaborating with experienced engineers on various projects to enhance the TuneTunnel platform. Required technical skills include web design, networking, and proficiency in node.js or similar frameworks. Candidates should have a strong knowledge of Computer Science principles, programming languages, and the ability to work independently. Excellent problem-solving, analytical, communication, and collaboration skills are essential. Applicants must be pursuing a degree in Computer Science or a related field and possess US work authorization. This is an unpaid internship with potential stock options for select candidates."
20,"Job Title: Machine Learning Engineer, Recommendation - E-Commerce  
Company: TikTok  

Responsibilities include designing and optimizing algorithms for large-scale e-commerce recommendation systems, building user interest models, and developing predictive models for candidate generation and ranking. Required technical skills include proficiency in programming languages such as Python, Java, C++, or R, and familiarity with machine learning algorithms, deep learning frameworks (TensorFlow, PyTorch, MXNet), and big data frameworks (e.g., MR, Spark). Candidates should have a Bachelor’s degree in computer science or a related field and at least 3 years of relevant experience. Preferred qualifications include experience in recommendation systems, online advertising, and publications in relevant conferences or competitions. The role involves working within the e-commerce domain, focusing on enhancing user shopping experiences through advanced machine learning techniques."
21,"Job Title: Data Engineer II  
Company: Honeywell  

Responsibilities include designing, implementing, and managing data architecture, systems, and processes for high-volume data collection, storage, processing, and analysis to support business insights. Tasks involve creating and maintaining data pipelines, data warehouses, and data lakes, ensuring data quality and compliance with governance standards, and collaborating with data scientists and analysts. Required technical skills include a Bachelor’s degree in a technical discipline, two or more years of experience in Data Engineering and ETL development, proficiency in Azure Databricks, CI/CD, DevOps, Python, SQL, and PySpark. Knowledge of NoSQL systems, data warehouse platforms like Snowflake, data modeling techniques, and the Hadoop ecosystem is valued. Familiarity with statistical modeling and effective communication skills are also important."
22,"Job Title: Principal Power Systems Engineer  
Company: CHA Consulting, Inc.  

The Principal Power Systems Engineer will oversee multiple teams on transmission, substation, and generation projects, focusing on system analysis and controls. Responsibilities include managing all phases of technical projects from conception to completion, preparing specifications, compiling technical reports, and conducting field assignments. Required qualifications include a Bachelor's degree in Electrical Engineering (Master's preferred), a Professional Engineer (PE) license, and a minimum of 15 years of progressive engineering experience. Expertise in power systems, electrical generation, distribution, and transmission is essential, along with advanced proficiency in engineering software such as Revit, AutoCAD, and MicroStation. The role requires strong leadership skills and the ability to collaborate effectively within teams. The position operates within the utilities infrastructure and electrical transmission domain, emphasizing safety and technical excellence in power delivery systems, including AC/DC conversion and various insulation mediums."
23,"Job Title: Cloud Architect  
Company: Apetan Consulting LLC  
Location: Charlotte, NC (Hybrid: 3 days onsite, 2 days remote)  
Client: Charter Communications  

Responsibilities include designing, implementing, and optimizing AWS cloud solutions, ensuring scalability and security. Key tasks involve collaborating with cross-functional teams, providing technical leadership on AWS best practices, conducting assessments of existing AWS environments, and supporting pre-sales activities. Required skills include 5-7+ years of experience with AWS cloud environments, in-depth knowledge of AWS services (EC2, S3, RDS, VPC, IAM, Lambda, CloudFormation), and expertise in cloud security and FinOps. Familiarity with Chat GPT, AI, and Machine Learning is also necessary. AWS certification (e.g., AWS Certified Solutions Architect, AWS Certified DevOps Engineer) is preferred. Candidates must be local to Charlotte; relocation candidates will not be considered."
24,"Job Title: Sr. Data Engineer  
Company: Simtra BioPharma Solutions  

Core responsibilities include leading the implementation of a cloud data warehouse platform, building data pipelines from various source systems to Snowflake using ETL tools such as Fivetran, DBT, and Airflow, and creating Power BI reports. The role involves collaborating with multiple business functions (sales, marketing, finance, purchasing, supply chain, manufacturing) to understand data and reporting needs, creating design documents, and mentoring junior engineers. Required technical skills include 5-7 years of experience in data engineering and business intelligence, proficiency in Python for data pipeline creation, and strong experience with cloud data platforms like Snowflake. Familiarity with batch and real-time data ingestion, data modeling using Kimball or Data Vault methodologies, and managing onsite and offshore consultants is essential. The position is onsite in Bloomington, Indiana, and reports to a Principal Architect."
25,"Job Title: Software Engineer III, Platforms Infrastructure Engineering  
Company: Google  

Responsibilities include writing product or system development code, participating in design reviews, reviewing code for best practices, contributing to documentation, and triaging product or system issues. Required qualifications are a Bachelor’s degree or equivalent experience, 2 years of software development experience in one or more programming languages, and 2 years of experience with data structures or algorithms. Preferred qualifications include a Master’s degree or PhD in Computer Science or related fields, 2 years of experience with performance analysis, large-scale systems, visualization tools, debugging, and developing accessible technologies. Proficiency in code and system health, diagnosis, resolution, and software test engineering is also preferred. Technologies and methodologies relevant to this role include distributed computing, large-scale system design, networking, data storage, security, artificial intelligence, natural language processing, and UI design. The position involves managing project priorities, deadlines, and deliverables while enhancing software solutions within Google’s technical infrastructure."
26,"Job Title: Web Application Developer  
Location: Hybrid  
Core Responsibilities: Develop and maintain web applications, troubleshoot issues across the application stack (Browser, Web Server - IIS, code, Database), collaborate with project members to determine requirements, author complex web applications, evaluate and integrate third-party code, test and deploy solutions, identify and escalate technical issues, recommend improvements for infrastructure and technology, and prepare system documentation.  
Required Skills: 2-3 years of development experience, proficiency in Microsoft Visual Studio .Net, C#, Java, Object-Oriented Design, .Net Core, MVC, and modifying existing code in HTML, ASP, ASP.Net 1.1, VB.Net, JSON. Knowledge of Microsoft Operating Systems (IIS, Log Files), Microsoft SQL Server (writing SQL queries, using Enterprise Manager/Management Studio), Microsoft TFS/Azure DevOps, and legal applications is a plus.  
Technologies: Visual Studio .Net, C#, Java, .Net Core, MVC, SQL, IIS, ASP, ASP.Net, VB.Net, JSON, Microsoft SQL Server, Microsoft TFS/Azure DevOps.  
Domain Context: Focus on technology, cybersecurity, finance, and accounting sectors."
27,"Job Title: Software Engineer – Streaming Search (Remote)  
Company: CrowdStrike  

This position involves designing and building a high-throughput distributed system for partitioning, filtering, querying, and joining streaming data at scale, processing trillions of events daily. Key responsibilities include collaborating with an agile team on cloud and datacenter architecture, performance tuning, and developing scalable systems. Required technical skills include strong experience in object-oriented programming, particularly in C++ (C++17), and familiarity with multithreading, memory management, and data structures. Proficiency in Python, Java, Golang, and tools such as Docker, Apache Kafka, RocksDB, and Apache Zookeeper is also necessary. Candidates should be comfortable with Unix/Linux command line, Git version control, and possess problem-solving skills in ambiguous environments. Experience with distributed applications, AWS services (EC2, S3), and monitoring tools (Grafana, Prometheus) is advantageous. Prior experience in cybersecurity or intelligence fields is a plus."
28,"The Senior Director of DevOps Engineering at Visa leads multiple development teams within the Acceptance Solutions Product Development group, focusing on delivering modern, large-scale services and products. Responsibilities include driving tooling and architecture for cross-team projects, establishing software development best practices, mentoring engineering teams, and optimizing testing and deployment processes. Required skills include expertise in Java, C#, Golang, Spark, microservices, and Agile methodologies, with a strong emphasis on building high-availability enterprise-level applications. The role demands experience in the payments industry, managing complex integration projects, and fostering a culture of engineering excellence. The position is hybrid, requiring in-office attendance 2-3 days a week, and involves minimal travel (5-10%). A Bachelor's degree with 12+ years of relevant experience or a Master's degree with 9+ years is preferred."
29,"Job Title: Network Engineer  
Company: Labatt Food Service  

Network Engineers at Labatt Food Service are responsible for building and maintaining the network backbone and telecommunications infrastructure to support over 7,000 electronic endpoints across 5 distribution centers and 5 satellite offices. Core responsibilities include programming routers, switches, load balancers, and access points using Cisco, Juniper, Extricom, F5, and VMWare devices; executing multi-year device replacement plans; managing telecommunications providers; organizing active-active network redundancy plans; and employing modern chaos techniques for resilient architecture. Required technical skills include knowledge of networking protocols and standards, as well as relevant certifications such as CCNA and CompTIA Network+. A minimum of a bachelor’s degree is required. The role involves continuous learning about new wireless technologies and adherence to evolving best practices in the field."
30,"Job Title: Sr. Java Developer  
Company: iCST  
Location: Remote in the US  
Salary: $90 - 95K + Benefits  
Full-time position, no C2C. Requires a strong backend developer with at least 2 years of state project experience. Responsibilities include developing backend systems using Java and related technologies. Required skills: 8+ years of experience with J2EE/Jakarta EE (Java 7/8), 6+ years with transactional databases (DB2, Oracle, SQL Server), and expertise in Spring Framework (Spring Integration, Spring Boot, Spring Batch). Proficiency in RESTful web services, API development, ORM tools (MyBatis, Hibernate, JPA), and object-oriented programming (OOP) is essential. Familiarity with Eclipse or similar IDE, SOA architecture, and version control systems (Git, Bitbucket) is required. Preferred skills include knowledge of Unix utilities, Bash, and Python, along with strong communication skills and the ability to adapt to complex environments."
31,"The Software Engineering Manager for the Colocation Team at Meta will oversee the development of colocation APIs and algorithms, focusing on enhancing multiplayer experiences in augmented and mixed reality (AR/MR) environments. Responsibilities include guiding the team in collaboration with technical program managers (TPMs) and cross-functional partners, establishing a cohesive product vision, and ensuring the end-to-end user experience aligns with strategic goals. Required qualifications include experience in launching public APIs, creating product strategies, mentoring individual contributors, and a background in computer vision or machine learning. Preferred qualifications include experience with embedded systems or Android, and familiarity with ML model review and deployment. The role involves working with technologies that facilitate direct people detection, friend sharing, and shared maps, while aiming to integrate colocation as a system-level service."
32,"Job Title: Lead Data Scientist  
Company: Gloo Digital  
Location: Hybrid Role (Commutable to Atlanta, GA)  

Responsibilities include architecting machine learning solutions, mentoring junior data analysts and data scientists, providing technical guidance, and ensuring high-quality project delivery through code reviews and agile methodologies. The role involves designing, developing, and deploying scalable machine learning algorithms for batch and real-time data processing, conducting statistical analysis for model validation, and collaborating with cross-functional teams to enhance understanding of travel-related data from Global Distribution Systems (GDS) and New Distribution Channels (NDC).  

Required qualifications include a Master’s degree in Data Science, Computer Science, or a related field, along with experience in analyzing travel distribution data and developing complex machine learning algorithms. Proficiency in Python, Big Data technologies, and data science tools is essential, along with experience in implementing machine learning models and conducting large-scale data analysis using Spark, Kafka, Hadoop, and GPUs. Collaboration with data science and cross-functional teams to design, build, and deploy data science products in a production environment is also required."
33,"Job Title: Big Data Engineer  
Location: Dallas, TX (Hybrid)  
Contract Type: Long-term  

Core responsibilities include designing and implementing big data solutions. Required technical skills include experience in solutions architecture or software architecture, proficiency in PySpark, and familiarity with Airflow and Hive. The role involves working within the big data domain."
34,"Job Title: Sr. Azure Cloud Engineer  
Location: Evanston, IL (Hybrid - 2 days onsite)  
Responsibilities include managing production Windows environments, building and updating Azure network entities, and implementing cost management strategies on Azure. The role requires developing Infrastructure as Code (IaC) using cloud-native tooling, with a focus on automation and consistency in platform deployments. Candidates must have over 5 years of experience with Microsoft Azure, including 3+ years with CI/CD tools (e.g., Azure DevOps, Jenkins), and 3+ years of experience with Terraform on Azure, including writing Terraform modules. Strong knowledge of Azure networking and security concepts, container-based infrastructure (e.g., Docker, Kubernetes, AKS), and cloud security requirements (e.g., Azure AD, IAM, Web Application Firewalls) is essential. Additional skills include cloud and OS performance tuning, advanced troubleshooting, and practical networking knowledge. A Bachelor's degree or equivalent work experience is required, and ITIL foundation certification is a plus."
35,"Job Title: Senior Software Engineer, PHP  
Location: Remote, US and Canada Only  
Compensation: $150,000 to $180,000 base plus bonus and equity  

Responsibilities include building end-to-end features for a Security Awareness Training product within a Laravel PHP SaaS application, designing internal and external APIs using a Spec-First approach, collaborating across teams, and writing well-tested code. Required technical skills include 3+ years of programming in PHP, 5+ years of software development experience, knowledge of the Laravel framework, familiarity with the TALL stack (Tailwind, Alpine, Laravel, Livewire), experience with REST API development, MySQL, AWS services, and proficiency in Git. Agile methodologies experience, including story writing and estimation, is necessary, along with the ability to communicate technical concepts clearly. The role involves working within a cross-functional agile team to deliver high-impact value to users."
36,"Job Title: Embedded Software Engineer  
Company: Mainspring Energy  

Responsibilities include designing and implementing embedded Linux applications, debugging Linux drivers and device trees, tuning firewall settings and DNS mapping for new hardware, and writing emulators and unit tests for continuous integration. Required skills include experience in programming embedded Linux applications, proficiency in C++, and a commitment to software engineering best practices. The role involves collaboration within a software team to enhance the existing embedded platform and contribute to the next generation architecture of Mainspring’s linear generator technology, which integrates a network of computers for control signal management and data collection from sensors. The position utilizes technologies such as embedded Linux and real-time bare metal applications. Mainspring operates in the electricity equipment market, focusing on scalable and fuel-flexible power generation solutions."
37,"Job Title: Frontend Developer  
Company: MindSource  
Location: Mountainview, CA (Onsite)  
Job Type: Contract-to-Hire  

Core Responsibilities: Design and develop user interfaces for a Kubernetes cloud web application, collaborating with UX designers and back-end engineers. Develop front-end components using HTML, CSS, JavaScript, and frameworks such as Vue.js and Node.js. Integrate front-end components with cloud infrastructure APIs, optimize performance for large-scale environments, and implement UI testing. Contribute to the CI/CD pipeline and document front-end architecture and design decisions.

Required Technical Skills: Proficiency in Vue.js (with recent experience in Vue 3), strong JavaScript skills (ES6+), and familiarity with Kubernetes API. Experience with Git and cloud platforms (AWS, GCP, Azure) is essential. Knowledge of Pinia, TypeScript, TailwindCSS, Nuxt, and Vite is advantageous.

Experience: Minimum of 4 years in engineering, with at least 2 years of recent experience using the Kubernetes API in JavaScript. Project management experience and the ability to analyze data for optimizing cloud resources are required. A B.Sc. degree in Computer Science, Mathematics, Engineering, or a related field is necessary."
38,"Job Title: Big Data Engineer  
Company: Zentek Infosoft  

Responsibilities include utilizing Spark and Hadoop ecosystem components for data processing and management. Required technical skills include hands-on experience with cloud platforms (GCP or AWS), HiveQL, Spark SQL, Shell scripting, and programming languages such as Java, Scala, or Python. Familiarity with SQL and experience in migration projects on Hadoop are advantageous. Knowledge of workflow engines like Oozie or Autosys and Agile development methodologies is also beneficial. An interest in exploring new technologies and an automation approach are considered a plus."
39,"Job Title: Software Engineer  
Contract: 2 months with potential extension  
Location: Cupertino preferred, can be remote  
Rate: $90+/hr  

Responsibilities include understanding distributed systems and cloud computing principles, working with Apache Flink or Apache Spark Structured Streaming, and related data stores such as Iceberg, Delta, and Kafka. The role requires hands-on experience with Kubernetes environments, preferably on AWS Cloud, and familiarity with AWS services including EKS, EC2, S3, VPC, NLB, and Ingress. Proficiency in at least two programming languages, with a preference for Java, Scala, or Python is required. Experience in setting up alerting, monitoring dashboards, and automation in large-scale distributed environments is essential, along with scripting skills in Python or Shell. The position involves identifying opportunities for automation, optimization, and cost-saving measures within cloud infrastructure."
40,"Job Title: Java Angular Developer  
Location: Charlotte, NC  
Responsibilities include full-stack development with a focus on Java and Angular, utilizing Spring Framework (Spring Boot, Spring Batch) and managing API integrations. Required technical skills include 7+ years of Java experience, proficiency in Spring, Hibernate, and Oracle databases, as well as experience with CI/CD tools such as Jenkins, Ansible, and Quartz Scheduler. Candidates must have 30% experience with Angular (version 12+), CSS, HTML, and JavaScript. Additional requirements include familiarity with Kafka streams, microservices architecture, and application servers like JBoss, Tomcat, or Apache. Experience in the financial domain is preferred."
41,"Job Title: Big Data Engineer  
Location: Phoenix, AZ (hybrid)  
Contract Type: W2 only  

Core Responsibilities: The Big Data Engineer will work with a team in Phoenix, AZ, requiring onsite presence every Tuesday, Wednesday, and Thursday. The role involves hands-on experience with Spark, Scala, and Hive.  

Required Technical Skills: Candidates must have 3-4 years of experience in Big Data engineering, specifically with Spark/Scala and Hive. Experience with NoSQL databases (MapR DB, HBase, Cassandra), Big Data frameworks (Hadoop, Spark, Yarn), and Big Data querying tools (Hive) is preferred. Familiarity with BigQuery and cloud computing is also advantageous.  

Work Arrangement: Candidates not currently located in Phoenix may begin working remotely and are expected to relocate within the first few months of the contract."
42,"Job Title: Data Analyst-Tx  
Company: ATC  

Responsibilities include gathering, analyzing, and documenting business requirements, as well as preparing functional and detailed system design documents. The role requires experience in requirement gathering, Agile methodology, writing user stories, and building and planning roadmaps. Familiarity with the Software Development Life Cycle (SDLC) is essential. Candidates must demonstrate effective communication skills across organizational levels, including leadership, and possess analytical skills and business acumen. Experience with all phases of testing, including system, integration, and user acceptance testing, is required, along with the ability to create use cases and test conditions. A Master's Degree is preferred. The company sponsors H1B or related work visas for eligible candidates on F1/OPT/CPT and offers 100% paid health insurance."
